Classroom,Age,Gender,Self-analaysis,Interactions,Victim,Bully,Observer,Pain,Intimidation,Humiliation,Ignore,Digital,Provoke,PassiveObserve,SituationGeneration,ActiveObserve,Behaviour,Feeling,Thinking
2º ESO,14 años,Femenino,8,8,0,0,0,5,0,0,2,0,1,0,0,3.0,1,0,0
2º ESO,13 años,Femenino,10,10,0,0,1,5,2,4,6,3,1,7,0,5.0,1,0,0
2º ESO,14 años,Femenino,2,2,0,0,0,2,1,3,4,3,2,5,1,5.0,3,4,2
2º ESO,14 años,Femenino,6,5,0,0,0,0,0,3,2,0,1,0,1,4.0,4,2,1
2º ESO,14 años,Masculino,10,10,0,0,0,5,0,0,0,2,8,9,9,9.0,1,0,0
2º ESO,13 años,Femenino,6,9,0,0,1,3,1,4,2,1,4,1,0,5.0,1,1,1
2º ESO,14 años,Femenino,5,6,0,0,0,4,0,4,6,4,1,4,2,3.0,1,1,2
2º ESO,14 años,Femenino,1,8,0,0,1,4,0,5,6,0,1,4,2,4.0,1,1,2
2º ESO,13 años,Masculino,7,10,0,0,1,3,0,4,3,4,2,4,3,4.0,1,1,2
2º ESO,14 años,Masculino,10,10,0,0,1,5,2,3,4,1,2,6,1,1.0,3,1,1
2º ESO,13 años,Femenino,6,4,0,0,0,4,2,4,6,5,3,4,3,4.0,1,1,2
2º ESO,13 años,Masculino,10,10,0,0,0,0,1,2,2,0,0,0,1,0.0,0,0,0
2º ESO,13 años,Masculino,5,5,0,0,0,2,1,4,3,1,0,1,0,1.0,1,2,2
2º ESO,13 años,Femenino,9,8,0,0,1,4,0,1,4,4,6,2,3,3.0,3,0,1
2º ESO,14 años,Femenino,9,9,0,0,0,5,0,1,3,2,1,0,0,0.0,1,0,0
2º ESO,13 años,Femenino,5,7,0,0,1,5,0,1,3,1,0,0,1,4.0,1,0,1
2º ESO,14 años,Masculino,9,10,0,0,0,1,0,2,4,1,1,0,0,0.0,0,0,0
2º ESO,14 años,Femenino,9,10,0,0,1,5,0,5,5,1,1,0,0,1.0,1,0,0
2º ESO,13 años,Femenino,3,7,0,0,1,4,2,3,4,1,2,4,2,3.0,3,1,0
2º ESO,15 años,Masculino,8,9,0,0,1,5,1,4,5,4,4,6,1,4.0,1,0,1
2º ESO,13 años,Masculino,10,10,0,0,1,3,0,3,3,2,1,0,0,0.0,1,0,1
2º ESO,14 años,Femenino,1,1,0,0,1,4,1,4,5,3,5,4,2,4.0,4,1,4
2º ESO,13 años,Masculino,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
2º ESO,14 años,Femenino,9,9,0,0,0,5,0,1,2,1,0,0,0,0.0,0,0,0
2º ESO,13 años,Femenino,1,7,0,0,0,3,2,3,4,5,0,1,1,4.0,3,4,4
2º ESO,14 años,Masculino,10,10,0,0,0,5,1,5,5,0,1,5,0,4.0,1,0,0
2º ESO,14 años,Masculino,9,8,0,0,1,5,2,4,5,6,1,7,9,9.0,6,4,5
